id	host	logname	time	method	url	bytes	useragent
ABC	ip-pdx4-15.teleport.com	-	807257434	GET	/images/kscmap-tiny.gif	2537	
ABC	ad03-053.compuserve.com	-	807257440	GET	/shuttle/countdown/count70.gif	46573	
ABC	ad03-053.compuserve.com	-	807257446	GET	/images/KSC-logosmall.gif	1204	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257450	GET	/shuttle/missions/sts-67/mission-sts-67.html	21521	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257454	GET	/shuttle/missions/sts-67/sts-67-patch-small.gif	17083	
ABC	ip-pdx4-15.teleport.com	-	807257460	GET	/images/lcc-small2.gif	58026	
ABC	rvr0151.deltanet.com	-	807257462	GET	/shuttle/missions/51-l/51-l-info.html	1387	
ABC	rvr0151.deltanet.com	-	807257467	GET	/shuttle/missions/51-l/movies/	372	
ABC	rvr0151.deltanet.com	-	807257468	GET	/icons/blank.xbm	509	
ABC	rvr0151.deltanet.com	-	807257473	GET	/icons/menu.xbm	527	
ABC	bettong.client.uq.oz.au	-	807257477	GET	/htbin/wais.pl	308	
ABC	rvr0151.deltanet.com	-	807257478	GET	/shuttle/missions/51-l/	1712	
ABC	rvr0151.deltanet.com	-	807257479	GET	/icons/image.xbm	509	
ABC	rvr0151.deltanet.com	-	807257479	GET	/icons/text.xbm	527	
ABC	www-b3.proxy.aol.com	-	807257482	GET	/images/	17688	
ABC	cc-sst-mg1-dip1-12.massey.ac.nz	-	807257487	GET	/facilities/tour.html	3723	
ABC	ad03-053.compuserve.com	-	807257487	GET	/cgi-bin/imagemap/countdown70?284,288	85	
ABC	www-b3.proxy.aol.com	-	807257489	GET	/icons/menu.xbm	527	
ABC	www-b3.proxy.aol.com	-	807257489	GET	/icons/blank.xbm	509	
ABC	www-b3.proxy.aol.com	-	807257489	GET	/icons/image.xbm	509	
ABC	ad03-053.compuserve.com	-	807257489	GET	/htbin/cdt_main.pl	3714	
ABC	dialup12.leuven.eunet.be	-	807257492	GET	/shuttle/missions/sts-69/	2406	
ABC	dialup12.leuven.eunet.be	-	807257493	GET	/icons/blank.xbm	509	
ABC	dialup12.leuven.eunet.be	-	807257493	GET	/icons/menu.xbm	527	
ABC	dialup12.leuven.eunet.be	-	807257493	GET	/icons/image.xbm	509	
ABC	www-b3.proxy.aol.com	-	807257494	GET	/icons/unknown.xbm	515	
ABC	dialup12.leuven.eunet.be	-	807257495	GET	/icons/text.xbm	527	
ABC	ad03-053.compuserve.com	-	807257495	GET	/shuttle/countdown/images/countclock.gif	13994	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257495	GET	/images/launch-logo.gif	1713	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257495	GET	/history/apollo/images/apollo-logo1.gif	1173	
ABC	bettong.client.uq.oz.au	-	807257496	GET	/htbin/wais.pl?spacewalk	6740	
ABC	cc-sst-mg1-dip1-12.massey.ac.nz	-	807257498	GET	/facts/facts.html	4722	
ABC	dialup12.leuven.eunet.be	-	807257498	GET	/shuttle/missions/sts-69/mission-sts-69.html	10566	
ABC	dialup12.leuven.eunet.be	-	807257500	GET	/shuttle/missions/sts-69/sts-69-patch-small.gif	8083	
ABC	dialup12.leuven.eunet.be	-	807257508	GET	/images/launch-logo.gif	1713	
ABC	dialup12.leuven.eunet.be	-	807257508	GET	/images/KSC-logosmall.gif	1204	
ABC	castles10.castles.com	-	807257511	GET	/shuttle/missions/sts-71/images/images.html	8529	
ABC	dialup12.leuven.eunet.be	-	807257513	GET	/history/apollo/images/apollo-logo1.gif	1173	
ABC	cc-sst-mg1-dip1-12.massey.ac.nz	-	807257514	GET	/facts/faq12.html	19547	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257539	GET	/shuttle/missions/sts-66/sts-66-patch-small.gif	20271	
ABC	dialup12.leuven.eunet.be	-	807257550	GET	/shuttle/technology/sts-newsref/sts_asm.html	71654	
ABC	bettong.client.uq.oz.au	-	807257555	GET	/shuttle/missions/status/r93-31	3212	
ABC	castles10.castles.com	-	807257559	GET	/shuttle/missions/sts-71/images/KSC-95EC-0544.gif	36712	
ABC	etapps.tech.iupui.edu	-	807257560	GET	/shuttle/missions/sts-71/movies/movies.html	3381	
ABC	193.84.66.147	-	807257561	GET	/	7280	
ABC	www-b3.proxy.aol.com	-	807257565	GET	/images/bluemarb.gif	4441	
ABC	ad03-053.compuserve.com	-	807257572	GET	/shuttle/countdown/countdown.html	4324	
ABC	phoenix.erc.msstate.edu	-	807257573	GET	/shuttle/missions/missions.html	8677	
ABC	phoenix.erc.msstate.edu	-	807257574	GET	/images/launchmedium.gif	11853	
ABC	phoenix.erc.msstate.edu	-	807257575	GET	/images/KSC-logosmall.gif	1204	
ABC	phoenix.erc.msstate.edu	-	807257575	GET	/images/NASA-logosmall.gif	786	
ABC	pppa006.compuserve.com	-	807257575	GET	/shuttle/missions/sts-71/movies/sts-71-landing.mpg	720896	
ABC	193.84.66.147	-	807257575	GET	/images/ksclogo-medium.gif	5866	
ABC	193.84.66.147	-	807257584	GET	/images/NASA-logosmall.gif	786	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257588	GET	/shuttle/missions/sts-66/mission-sts-66.html	73728	
ABC	193.84.66.147	-	807257590	GET	/images/ksclogo.gif	14298	
ABC	etapps.tech.iupui.edu	-	807257595	GET	/shuttle/missions/sts-71/movies/crew-arrival-t38.mpg	305722	
ABC	gwa.ericsson.com	-	807257597	GET	/images/ksclogosmall.gif	0	
ABC	ad11-013.compuserve.com	-	807257601	GET	/shuttle/technology/sts-newsref/stsref-toc.html	84905	
ABC	www-b3.proxy.aol.com	-	807257604	GET	/images/MOSAIC-logosmall.gif	363	
ABC	gwa.ericsson.com	-	807257612	GET	/history/skylab/skylab-station.txt	286	
ABC	ncg-72.axionet.com	-	807257632	GET	/shuttle/missions/sts-71/movies/sts-71-mir-dock.mpg	311296	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257654	GET	/	7280	
ABC	198.189.70.111	-	807257659	GET	/history/apollo/apollo.html	3260	
ABC	www-d4.proxy.aol.com	-	807257661	GET	/shuttle/countdown/	0	
ABC	198.189.70.111	-	807257661	GET	/history/apollo/images/footprint-small.gif	18149	
ABC	198.189.70.111	-	807257662	GET	/images/KSC-logosmall.gif	1204	
ABC	198.189.70.111	-	807257662	GET	/history/apollo/images/apollo-logo1.gif	1173	
ABC	castles10.castles.com	-	807257664	GET	/shuttle/missions/sts-71/images/index71.gif	73728	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257666	GET	/images/ksclogo-medium.gif	5866	
ABC	gwa.ericsson.com	-	807257666	GET	/shuttle/missions/missions.html	0	
ABC	gwa.ericsson.com	-	807257672	GET	/images/launchmedium.gif	11853	
ABC	castles10.castles.com	-	807257685	GET	/images/WORLD-logosmall.gif	669	
ABC	198.189.70.111	-	807257691	GET	/history/apollo/apollo-13/apollo-13.html	18556	
ABC	198.189.70.111	-	807257693	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	12859	
ABC	ad11-013.compuserve.com	-	807257711	GET	/shuttle/technology/sts-newsref/sts-av.html	117168	
ABC	198.189.70.111	-	807257711	GET	/images/ksclogosmall.gif	3635	
ABC	198.189.70.111	-	807257711	GET	/history/apollo/images/footprint-logo.gif	4209	
ABC	193.84.66.147	-	807257720	GET	/shuttle/missions/missions.html	8677	
ABC	www-d4.proxy.aol.com	-	807257722	GET	/cgi-bin/imagemap/countdown70?61,190	96	
ABC	dd08-050.compuserve.com	-	807257723	GET	/history/apollo/apollo-13/movies/apo13launch.mpg	402466	
ABC	wedding.eznet.com	-	807257725	GET	/	7280	
ABC	wedding.eznet.com	-	807257728	GET	/images/ksclogo-medium.gif	5866	
ABC	wedding.eznet.com	-	807257737	GET	/images/MOSAIC-logosmall.gif	363	
ABC	wedding.eznet.com	-	807257737	GET	/images/USA-logosmall.gif	234	
ABC	wedding.eznet.com	-	807257738	GET	/images/NASA-logosmall.gif	786	
ABC	wedding.eznet.com	-	807257738	GET	/images/WORLD-logosmall.gif	669	
ABC	engei.engei-hs.oyama.tochigi.jp	-	807257739	GET	/images/NASA-logosmall.gif	786	
ABC	pc-heh.icl.dk	-	807257743	GET	/	7280	
ABC	pc-heh.icl.dk	-	807257743	GET	/images/ksclogo-medium.gif	5866	
ABC	pc-heh.icl.dk	-	807257744	GET	/images/NASA-logosmall.gif	786	
ABC	193.84.66.147	-	807257745	GET	/images/launchmedium.gif	11853	
ABC	pc-heh.icl.dk	-	807257745	GET	/images/MOSAIC-logosmall.gif	363	
ABC	pc-heh.icl.dk	-	807257745	GET	/images/USA-logosmall.gif	234	
ABC	pc-heh.icl.dk	-	807257745	GET	/images/WORLD-logosmall.gif	669	
